Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT
Somalia,Not Free,7,7,7,10,,,,,,38.9,0.345,,,,,,,,4.3,190,"57,24",-,-,-,-,-,-,173,179,189,191,154,179,2434,104,136,0.75,29.6,23.72,-,-,-,-,6.6,216,-15,10
Somaliland,Partly Free,4,5,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Africa,Free,2,2,78,43,0.699,0.467,33.2,-17,30.3,20.3,0.532,14.3,0.607,56.4,0.315,28.4,7.0,63.0,34.0,82,"22,19",52.7,41.9,46.8,78.2,63.27,113.94,160,128,151,57,182,175,6737,686,146,2.5,24.65,8.53,28,0,0,45,4.5,20.7,0.2,15
South Korea,Free,2,2,84,57,0.903,0.773,14.3,-8,14.0,3.2,0.929,18.5,0.702,20.2,0.709,5.3,1.2,31.6,0.7,5,"24,94",47.3,45.4,48.1,49.3,83.59,153.19,51,37,35,31,107,58,29048,6993,606,2.59,28.07,-6.23,25,8.65,9.65,42,0.7,32.5,0.2,10
South Ossetia,Not Free,7,6,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Sudan,Not Free,7,7,2,13,0.388,0.247,36.3,-1,36.3,37.0,0.361,39.6,0.180,32.3,0.232,13.0,2.7,46.3,,185,"45,65",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.1,836,-14,-
Spain,Free,1,1,94,58,0.891,0.754,15.4,-12,14.9,3.0,0.945,18.6,0.671,23.3,0.676,7.3,1.5,36.2,0.6,30,"21,99",54.4,68.7,27.8,68.6,78.42,144.35,5,11,19,24,6,7,15487,2354,171,2.13,26.03,1.72,25,6.35,29.9,45,0.4,28.43,-1.37,21
Sri Lanka,Partly Free,3,4,55,38,0.770,0.664,13.8,0,13.6,7.1,0.793,12.8,0.653,21.0,0.564,6.8,1.9,39.8,2.5,100,"39,61",-,-,-,-,72.98,131.86,76,80,80,138,66,76,8527,375,688,1.2,29.74,23.16,28,8,12,24,3.8,28.3,-0.9,15
St. Kitts and Nevis,Free,1,1,89,-,0.778,,,,,,,,,,,,,,,140,-,-,-,-,-,-,-,86,91,98,51,122,100,-,-,622,23,27.28,21.78,33,5,6,0,-,-,-,-
St. Lucia,Free,1,1,91,55,0.747,0.622,16.7,3,16.3,9.0,0.780,12.6,0.591,27.4,0.522,,,,,93,-,-,-,-,-,-,-,54,86,87,86,54,68,-,-,738,5.18,28.54,22.68,30,5,5,30,-,-,-,15
St. Vincent and Grenadines,Free,1,1,90,58,0.723,,,,,11.9,0.722,,,,,,,,36.5,130,-,-,-,-,-,-,-,43,89,92,90,38,74,-,-,439,2.11,29.46,24.03,30,4.5,5.5,30,-,-,-,-
Sudan,Not Free,7,7,8,16,0.502,0.328,34.7,-1,34.5,27.9,0.496,42.5,0.189,33.0,0.376,6.2,1.4,35.4,,162,"72,45",-,-,-,-,-,-,154,159,148,169,149,134,4579,327,164,0.25,32.12,13.75,35,8,17,15,47.8,182,-1,17
Suriname,Free,2,2,78,43,0.720,0.557,22.6,-8,21.8,12.4,0.694,15.6,0.537,37.3,0.463,,,,,165,"16,38",-,-,-,-,-,-,77,94,105,72,77,110,2752,167,670,16.12,28.59,23.4,36,6,9,38,4.6,586,-11.68,10
Swaziland,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,"49,09",-,-,-,-,-,-,164,140,164,116,184,177,1626,82.01,389,0.08,24.82,11.41,27.5,0,0,33,1.7,31.1,-5.27,15
Sweden,Free,1,1,100,85,0.933,0.864,7.4,1,7.2,2.7,0.937,3.7,0.870,15.3,0.789,4.6,1.0,29.2,1.1,12,"8,31",72.5,67.6,72.6,80.2,69.41,127.31,4,28,4,7,21,23,22847,4527,135,7.8,17.93,-16.61,21.4,7,31.42,57.19,1.8,15.5,-1.6,25
Switzerland,Free,1,1,96,85,0.944,0.871,7.8,-2,7.5,3.5,0.942,2.4,0.876,16.8,0.799,5.2,1.3,32.5,0.5,38,"10,52",67.6,58.0,67.5,83.2,73.23,137.77,8,10,2,2,26,20,21683,4380,315,9.71,21.09,-8.81,18,6,6,40,0.6,11.92,-1.4,7.7
Syria,Not Free,7,7,-1,13,0.536,,,,,13.0,0.682,,,,,,,,,179,"71,78",-,-,-,-,-,-,114,107,112,119,91,108,3042,307,135,0,32.65,1.76,28,7,17.1,22,1.1,121,-31.05,-
Sao Tome and Principe,Free,2,2,82,46,0.589,0.473,19.8,12,19.7,25.9,0.533,18.3,0.455,14.9,0.435,4.7,1.2,30.8,,170,-,-,-,-,-,-,-,132,139,138,167,117,133,2687,33.02,-,-,28.43,22.64,-,-,-,-,9,86.8,3.5,-
Taiwan,Free,1,1,93,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,"24,98",-,-,-,-,86.89,160.01,-,-,-,-,-,-,16869,2729,-,-,28.85,12.68,20,18.23,3.61,40,0.86,61.47,-3.09,5
Tajikistan,Not Free,7,6,11,25,0.650,0.562,13.6,12,13.4,20.1,0.630,6.5,0.616,13.5,0.457,5.6,1.4,34.0,,126,"54,02",-,-,-,-,-,-,120,124,127,126,145,154,4925,124,164,0.1,19.36,-16.47,-,-,-,-,8.7,60.6,1.6,18
Tanzania,Partly Free,4,4,52,36,0.538,0.404,24.8,4,24.8,24.9,0.535,27.0,0.322,22.4,0.384,6.2,1.7,37.8,7.0,144,"36,28",-,-,-,-,-,-,176,172,158,174,180,156,-,-,-,-,25.04,19.17,30,10,10,30,3.7,19.8,3,18
Thailand,Not Free,6,5,31,36,0.755,0.636,15.7,0,15.5,9.3,0.774,13.3,0.573,23.8,0.581,6.5,1.7,37.8,3.2,27,"44,1",-,-,-,-,78.44,142.94,99,74,57,64,102,47,15999,780,-,-,30.44,20.1,20,5,5,35,0.87,24.56,-4.38,7
Tibet,Not Free,7,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Timor-Leste,Free,2,3,69,35,0.625,0.452,27.7,-6,26.4,20.6,0.601,44.9,0.278,13.6,0.552,4.1,1.1,28.7,3.9,178,"29,93",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,18,-2.5,-
Togo,Partly Free,4,4,47,30,0.503,0.344,31.7,1,31.5,30.5,0.433,38.9,0.309,25.1,0.303,9.7,2.2,43.1,9.0,137,"29,69",-,-,-,-,-,-,159,170,156,180,159,152,1483,158,-,-,30.98,22.66,-,-,-,-,1.3,15.83,-26.77,18
Tonga,Free,2,2,75,-,0.726,,,,,13.0,0.712,4.5,0.736,,,6.7,1.6,37.5,,91,"25,41",-,-,-,-,-,-,75,84,85,73,114,116,4986,67.57,-,-,27.39,19.3,-,-,-,-,-,-,-,15
Transnistria,Not Free,6,6,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,Free,2,2,81,41,0.784,,,,,15.6,0.659,,,21.9,0.667,,,,30.9,105,"24,74",-,-,-,-,-,-,57,75,56,65,79,67,9590,540,378,3.94,28.41,23.41,25,3.9,7.8,25,1.2,24.52,-2.61,-
Tunisia,Free,2,3,70,43,0.735,0.573,22.0,-7,21.4,10.7,0.769,34.6,0.431,18.9,0.568,6.4,1.5,35.8,,80,"29,61",-,-,-,-,57.39,100.99,90,114,77,79,46,52,4476,1070,128,0,33.81,6.32,25,9.18,16.57,35,6.8,16.7,-1.9,19
Turkey,Not Free,5,6,32,41,0.791,0.669,15.4,-4,15.3,9.6,0.779,13.5,0.595,22.6,0.644,8.5,2.1,41.9,,43,"52,81",-,-,-,-,69.90,125.71,73,109,96,82,33,70,7560,1009,139,2.07,26.27,-4.52,22,15,22.5,35,15.72,139,-4.01,18
Turkmenistan,Not Free,7,7,4,20,0.706,0.575,18.5,2,17.9,23.4,0.565,3.6,0.604,26.8,0.558,,,,,-,"85,44",-,-,-,-,-,-,128,131,130,128,152,153,3625,111,65.11,0,32.14,-8.44,20,-,-,,9.4,83.7,0.1,15
Tuvalu,Free,1,1,94,-,,,,,,,,10.5,,23.4,0.472,7.0,1.8,39.1,,-,-,-,-,-,-,-,-,119,116,120,151,128,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,Partly Free,6,4,37,26,0.516,0.370,28.3,5,28.2,32.5,0.417,27.9,0.378,24.2,0.321,7.6,2.0,41.0,,127,"39,42",-,-,-,-,-,-,186,138,162,168,179,149,2516,104,283,7.35,26.5,21.03,30,5,10,30,3.4,24.5,-5.36,18
Ukraine,Partly Free,3,3,62,32,0.751,0.701,6.6,20,6.5,7.5,0.742,3.6,0.766,8.5,0.608,3.5,0.9,25.0,,71,"32,46",-,-,-,-,51.13,89.19,70,47,60,111,101,79,12941,1281,119,4.64,24.3,-14.72,18,0,0,18,9,530,-1.2,20
United Arab Emirates,Not Free,7,6,17,70,0.863,,,,,5.2,0.837,,,,,,,,0.9,11,"43,63",-,-,-,-,66.13,122.44,50,62,44,35,16,27,10685,809,95.78,0,37.75,15.74,55,0,0,0,-1.1,12.3,-2.5,5
United Kingdom,Free,1,1,94,80,0.922,0.835,9.4,-3,9.1,4.0,0.912,3.7,0.880,19.5,0.726,5.4,1.3,33.2,1.2,9,"22,23",62.5,57.8,53.4,82.9,74.88,137.41,14,2,9,26,24,18,16921,3086,233,11.23,17.29,-1.47,19,2,13.8,45,2,8.5,-0.1,20
United States,Free,2,1,86,71,0.924,0.797,13.8,-11,13.1,5.6,0.865,5.5,0.853,28.1,0.685,9.4,2.0,41.5,5.4,8,"25,69",58.8,59.1,57.4,60.2,69.23,127.29,24,32,15,1,72,37,18748,3609,88.15,20.59,23.01,-7.58,27,7.65,7.65,37,1.6,23.7,-15.8,0
Uruguay,Free,1,1,98,70,0.804,0.689,14.3,-4,13.9,9.0,0.807,7.4,0.679,25.3,0.598,7.9,1.8,39.7,7.7,95,"16,06",-,-,-,-,66.15,119.37,37,68,50,33,50,65,9506,402,359,7.7,25.83,8.2,25,23.1,12.63,36,7.36,183,-7.12,22
Uzbekistan,Not Free,7,7,7,23,0.710,,,,,17.0,0.657,0.8,0.712,,,,,,,76,"53,52",-,-,-,-,-,-,100,144,109,120,112,117,6039,152,76.29,0.01,30.38,-12.32,7.5,-,-,,14.3,14.4,2.4,20
Vanuatu,Free,2,2,81,46,0.603,0.499,17.1,10,17.1,14.1,0.692,17.5,0.437,19.7,0.412,6.7,1.7,37.6,2.1,94,-,-,-,-,-,-,-,135,127,134,132,120,127,4797,118,682,27.63,26.33,20.48,0,-,-,,2.1,6.1,-2.5,15
Venezuela,Not Free,6,5,26,18,0.761,0.636,16.5,-4,16.2,10.5,0.754,12.9,0.645,25.2,0.528,15.8,2.8,46.9,56.3,188,"49,1",-,-,-,-,40.17,69.79,52,76,65,68,29,54,1938,647,433,9.06,27.81,22.78,34,4,11,34,282972.8,344510,3.22,12
Vietnam,Not Free,7,5,20,33,0.694,0.574,17.3,8,17.3,12.7,0.758,17.6,0.515,21.4,0.483,5.9,1.4,34.8,,69,"74,93",-,-,-,-,55.24,95.88,116,104,140,147,130,160,9504,703,437,5.84,28.56,16.56,20,10.5,21.5,35,2.16,28.24,-2.6,10
"Palestine, State of",Not Free,7,5,28,-,0.686,0.583,15.0,15,14.9,12.2,0.725,14.1,0.566,18.5,0.483,5.5,1.4,34.4,0.7,116,"44,68",-,-,-,-,-,-,-,-,-,-,-,-,5826,321,323,0,29.54,8.2,15,-,-,-,1.39,15.08,-2.11,-
Western Sahara,Not Free,7,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yemen,Not Free,7,6,13,14,0.452,0.308,31.9,6,30.9,24.9,0.522,46.1,0.188,21.8,0.297,6.1,1.6,36.7,,187,"61,66",-,-,-,-,-,-,141,165,146,182,82,120,1268,155,107,0.08,32.74,18.47,20,6,9,15,9.49,24.77,0.71,5
Zambia,Partly Free,4,4,55,35,0.588,0.388,34.1,-6,33.0,28.8,0.463,21.7,0.454,48.6,0.278,21.1,5.0,57.1,5.3,87,"36,38",-,-,-,-,-,-,188,171,174,148,190,182,2325,117,319,0,26.28,15.52,35,5,5,37.5,8.8,22.9,6,16
Zimbabwe,Not Free,6,5,30,22,0.535,,,,,26.6,0.471,16.8,0.464,,,8.6,2.2,43.2,,155,"42,23",-,-,-,-,-,-,184,98,147,110,191,155,4688,98.62,-,-,26.6,14.08,25,3.5,3,45,175.66,176,-7.5,15
Anguilla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,5,0,-,-,-,-
Aruba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10426,871,400,0.27,30.79,24.12,25,5,11,52,4.8,12.66,-4.68,1.5
British Virgin Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,823,9.03,29.33,22.95,-,-,-,-,-,-,-,-
Cayman Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7581,1345,414,1.6,30.19,21.17,0,0,0,0,1.7,11.4,-3.6,-
Curaçao,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,7,10,46.5,-,-,-,-
Guadeloupe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Martinique,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montserrat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Puerto Rico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.5,64,-,-,-,-,-,55.51,101.25,-,-,-,-,-,-,12367,1008,610,5.81,28.5,21.93,-,8,8,33,0.5,8.8,-1.4,-
Turks and Caicos Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,,-,-,-,-
United States Virgin Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bermuda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,6685,1132,-,-,-,-,0,0,0,0,1,2.6,0.6,-
Greenland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5120,377,79.88,17.36,0.34,-37.66,-,-,-,-,-,-,-,-
St. Martin (French part),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sint Maarten (Dutch part),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,7,8,48,-,-,-,-
Saint Pierre and Miquelon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
French Guiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"China, Macao Special Administrative Region",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.77,10.76,12,0,0,12,2.62,9.49,-3.65,-
Channel Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6.6,6.6,20,-,-,-,-
Isle of Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12714,1827,-,-,17.82,-0.14,0,11,12.8,20,-,-,-,-
Gibraltar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,20,25,-,-,-,-
Holy See,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Caledonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5570,158,-,-,27.62,18.69,-,-,-,-,0.9,3.87,-0.5,-
Guam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9406,956,-,-,28.86,24.76,-,-,-,-,-,-,-,2
Canary Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
American Samoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.4,,-,-,-,-,-,-,-,-,-,-,-,-,-,1890,297,870,12.28,28.54,24.71,-,-,-,-,-,-,-,-
Cook Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,67,92,88,61,95,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-
French Polynesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3228,304,652,17.09,28.62,22.68,-,-,-,-,-,-,-,-
Niue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,85,100,102,127,108,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Northern Mariana Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4479,466,1982,101,28.86,24.76,-,-,-,-,-,-,-,-
"Bonaire, Saint Eustatius and Saba",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-
Netherlands Antilles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,16,35,-,-,-,-
