Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT
Democratic Republic of the Congo,Not Free,7,6,17,20,0.457,0.319,30.3,6,30.2,36.1,0.394,26.3,0.365,28.2,0.225,8.8,2.1,42.1,13.5,184,"51,71",-,-,-,-,-,-,174,174,179,188,185,188,-,-,-,-,-,-,35,35,9,40,-,-,-,-
Republic of the Congo,Not Free,7,5,21,19,0.606,0.469,22.6,6,22.6,25.1,0.520,21.5,0.413,21.2,0.481,12.8,3.1,48.9,9.3,180,"36,04",-,-,-,-,-,-,150,142,155,122,167,166,3463,155,286,12.84,27.11,21.8,-,-,-,30,4.95,511,1.35,18
Costa Rica,Free,1,1,91,56,0.794,0.651,18.0,-10,17.3,7.5,0.854,11.9,0.634,32.4,0.509,12.9,3.0,48.7,11.9,67,"12,24",-,-,-,-,62.58,112.82,40,45,45,50,25,36,4092,696,733,13.06,28.86,22.99,30,10.34,26.33,15,2.42,109,-1.2,13
Crimea,Not Free,7,6,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Croatia,Free,1,2,86,48,0.831,0.756,9.0,4,8.8,4.1,0.853,5.0,0.752,17.3,0.675,5.2,1.1,30.8,1.0,58,"29,03",-,-,-,-,65.60,120.17,38,33,36,56,57,43,8592,1894,-,-,25.51,-5.81,18,20,16.5,36,0.6,8.43,-1.8,25
Cuba,Not Free,7,6,14,47,0.777,,,,,5.3,0.873,10.9,0.695,,,,,,5.0,-,"63,81",-,-,-,-,-,-,33,41,40,118,36,39,2430,81.16,-,-,28.87,19.44,-,-,-,-,5.9,6,0.8,20
Cyprus,Free,1,1,94,59,0.869,0.769,11.5,-1,11.3,3.6,0.900,11.7,0.714,18.7,0.707,5.3,1.4,34.0,1.1,57,"21,74",-,-,-,-,52.06,90.02,25,31,28,39,22,24,7168,759,-,-,29.79,7.03,12.5,8.3,8.3,35,-0.2,18.75,-3.59,19
Czech Republic,Free,1,1,93,59,0.888,0.840,5.3,11,5.2,3.3,0.876,1.6,0.879,10.8,0.771,3.7,0.9,25.9,0.6,35,"24,89",-,-,-,-,74.47,136.81,35,19,30,40,81,48,17768,3672,-,-,22.09,-11.62,19,11,34,22,2.7,21.9,-0.4,21
Ivory Coast,Partly Free,4,4,51,35,0.492,0.311,36.9,-1,36.3,34.2,0.345,47.4,0.223,27.4,0.389,8.4,2.0,41.5,11.6,122,"29,52",-,-,-,-,-,-,155,181,157,153,133,137,3184,276,374,0.04,29.99,22.79,25,-,-,-,1.2,9.63,-3.84,18
Denmark,Free,1,1,97,88,0.929,0.860,7.5,2,7.4,3.4,0.905,4.3,0.880,14.4,0.798,4.0,1.0,28.2,1.0,3,"9,87",80.2,77.5,81.8,82.2,79.22,146.06,28,21,20,8,65,34,20708,3196,-,-,0.7,-36.83,22,0,0,55.89,0.6,13,-0.1,25
Djibouti,Not Free,6,5,26,31,0.476,0.306,35.8,-1,35.2,30.8,0.454,47.0,0.164,27.7,0.385,10.2,2.3,44.1,6.5,99,"71,36",-,-,-,-,-,-,166,169,170,163,163,157,2493,313,-,-,35.18,23.02,25,-,-,-,2.9,22.47,-6.35,10
Dominica,Free,1,1,93,57,0.715,,,,,,,,,,,,,,,103,-,-,-,-,-,-,-,26,35,42,70,59,35,11904,1106,-,-,28.9,22.94,25,6,6.75,35,-,-,-,15
Dominican Republic,Partly Free,3,3,67,30,0.736,0.581,21.0,-3,20.8,15.4,0.703,19.1,0.520,28.1,0.536,10.4,2.5,45.3,15.2,102,"27,9",-,-,-,-,54.07,94.46,79,97,66,92,42,51,4430,366,-,-,28.58,21.86,27,6,14,25,0.92,82.49,-1.57,18
