Country,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient
Cambodia,0.582,0.469,19.4,14,19.2,16.0,0.638,27.3,0.354,14.3,0.457,,,
Angola,0.581,0.393,32.4,-2,32.3,33.8,0.426,34.3,0.327,28.9,0.436,9.0,2.2,42.7
Myanmar,0.578,0.466,19.4,11,18.9,24.0,0.547,26.9,0.324,5.8,0.572,6.3,1.7,38.1
Nepal,0.574,0.427,25.6,5,24.6,16.6,0.649,40.9,0.296,16.3,0.405,5.0,1.3,32.8
Pakistan,0.562,0.387,31.0,-1,29.6,31.0,0.495,46.2,0.221,11.6,0.531,4.4,1.2,30.7
Cameroon,0.556,0.366,34.2,-4,34.2,33.7,0.393,33.0,0.367,35.9,0.339,11.5,2.7,46.6
Solomon Islands,0.546,,,,,15.9,0.660,,,,,6.4,1.6,37.1
Papua New Guinea,0.544,,,,,25.3,0.525,11.5,0.381,,,9.3,2.1,41.9
Tanzania (United Republic of),0.538,0.404,24.8,4,24.8,24.9,0.535,27.0,0.322,22.4,0.384,6.2,1.7,37.8
Syrian Arab Republic,0.536,,,,,13.0,0.682,,,,,,,
Zimbabwe,0.535,,,,,26.6,0.471,16.8,0.464,,,8.6,2.2,43.2
Nigeria,0.532,0.347,34.7,-6,34.6,37.4,0.326,38.1,0.299,28.2,0.429,9.1,2.2,43.0
Rwanda,0.524,0.367,30.0,0,29.8,23.8,0.557,29.3,0.318,36.4,0.278,11.0,3.2,50.4
Lesotho,0.520,0.359,31.0,-1,30.5,28.5,0.380,21.9,0.392,41.1,0.310,20.8,4.3,54.2
Mauritania,0.520,0.348,33.0,-3,32.7,32.6,0.450,40.8,0.230,24.6,0.408,5.4,1.3,32.6
Madagascar,0.519,0.385,25.9,5,25.6,21.3,0.561,35.0,0.324,20.4,0.313,8.7,2.1,42.6
Uganda,0.516,0.370,28.3,5,28.2,32.5,0.417,27.9,0.378,24.2,0.321,7.6,2.0,41.0
Benin,0.515,0.326,36.6,-6,36.3,35.0,0.412,43.7,0.265,30.3,0.319,16.3,2.9,47.8
Senegal,0.505,0.340,32.6,-1,31.7,21.1,0.576,46.5,0.197,27.7,0.347,7.7,1.9,40.3
Comoros,0.503,0.275,45.3,-18,44.2,28.9,0.480,47.6,0.248,56.0,0.175,11.2,2.5,45.3
Togo,0.503,0.344,31.7,1,31.5,30.5,0.433,38.9,0.309,25.1,0.303,9.7,2.2,43.1
Sudan,0.502,0.328,34.7,-1,34.5,27.9,0.496,42.5,0.189,33.0,0.376,6.2,1.4,35.4
Afghanistan,0.498,0.350,29.6,7,28.2,28.4,0.485,45.4,0.227,10.8,0.391,,,
Haiti,0.498,0.304,39.0,-7,38.4,28.6,0.479,38.3,0.267,48.4,0.219,8.6,2.0,41.1
Côte d'Ivoire,0.492,0.311,36.9,-1,36.3,34.2,0.345,47.4,0.223,27.4,0.389,8.4,2.0,41.5
Malawi,0.477,0.332,30.4,5,30.4,30.3,0.468,28.4,0.323,32.4,0.242,9.4,2.5,45.5
Djibouti,0.476,0.306,35.8,-1,35.2,30.8,0.454,47.0,0.164,27.7,0.385,10.2,2.3,44.1
Ethiopia,0.463,0.331,28.4,6,27.3,24.9,0.530,43.5,0.185,13.4,0.372,7.1,1.8,39.1
Gambia,0.460,0.289,37.2,-4,36.4,28.5,0.456,49.3,0.189,31.5,0.281,5.9,1.5,35.9
Guinea,0.459,0.306,33.4,2,32.2,31.2,0.430,48.3,0.175,17.1,0.379,5.5,1.3,33.7
Congo (Democratic Republic of the),0.457,0.319,30.3,6,30.2,36.1,0.394,26.3,0.365,28.2,0.225,8.8,2.1,42.1
Guinea-Bissau,0.455,0.276,39.4,-5,39.4,38.4,0.358,41.9,0.228,37.9,0.257,12.6,3.3,50.7
Yemen,0.452,0.308,31.9,6,30.9,24.9,0.522,46.1,0.188,21.8,0.297,6.1,1.6,36.7
Eritrea,0.440,,,,,21.4,0.551,,,,,,,
Mozambique,0.437,0.294,32.7,2,32.6,35.6,0.385,33.8,0.255,28.4,0.259,14.2,3.9,54.0
Liberia,0.435,0.298,31.6,4,31.0,27.5,0.480,42.9,0.248,22.7,0.221,5.4,1.3,33.2
Mali,0.427,0.282,34.0,1,32.8,36.8,0.374,46.2,0.158,15.4,0.380,5.2,1.3,33.0
Burkina Faso,0.423,0.288,32.1,3,31.8,32.0,0.427,39.2,0.174,24.2,0.321,5.3,1.5,35.3
Sierra Leone,0.419,0.266,36.5,-1,35.4,39.8,0.298,47.3,0.206,19.2,0.307,5.4,1.4,34.0
Burundi,0.417,0.278,33.3,3,32.8,38.1,0.361,39.5,0.256,20.9,0.233,6.7,1.7,38.6
Chad,0.404,0.249,38.3,-1,37.9,42.4,0.294,43.0,0.170,28.4,0.310,10.0,2.2,43.3
South Sudan,0.388,0.247,36.3,-1,36.3,37.0,0.361,39.6,0.180,32.3,0.232,13.0,2.7,46.3
Central African Republic,0.367,0.212,42.1,-1,41.8,41.7,0.295,34.5,0.223,49.2,0.145,18.5,4.5,56.2
Niger,0.354,0.250,29.3,3,28.8,34.9,0.405,35.0,0.139,16.4,0.278,5.4,1.4,34.3
Korea (Democratic People's Rep. of),,,,,,11.6,0.706,,,,,,,
Monaco,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,
Somalia,,,,,,38.9,0.345,,,,,,,
Tuvalu,,,,,,,,10.5,,23.4,0.472,7.0,1.8,39.1
